,content
387,Its gd but the creators r greedy piece of 💩. Uninstalled successfully.
388,Don't know why I reinstalled this app as it is impossible to get passed it level 12195 need plenty of spaceships im not going to waste my precious time on this game now time to uninstall this app permanently now
389,Always fun
390,Habby
391,"When will our sweet candy start paying us like others eg fb, instant e. T. C. PLS is very important 11 years of this game no be small thing."
392,I downloaded this game only for Mahi Sir ❤ M.S Dhoni🔥🔥🔥
393,"Nice, timepass"
394,Worst app
395,"It's been 2 weeks since I've had a ""sweet cinema"" booster. It's weird"
396,Fun fun fun
397,Very nice to play game
398,Good
399,Super
