,content
232,I just started using the app so I dont know much about it but from what I've seen this app is very useful to keep my information safe and the templates are so nice cause sometimes I want to write about something sad or overwhelming but I don't know how to.Thats my review and I would recommend this app ~The daughter of this user
233,"Just started, I will comment at a later date. This will interesting..."
234,I like it because I keeps my thing's that I has in my mind safe
235,Nice app I liked it
236,Super
237,All you would think but very easy to do!😎
238,Very nice
239,Love it
240,Good
241,nice aàp
242,This is unforgivable... they said that at the beginning if you wrote your diary for a couple of days you would get a free sticker pack and now my free sticker pack is gone and it shows me I have to go premium. This is terrible fix this immediately and I hope you will not say that this was supposed to happen... and now I found out that half my data is lost. My achievements are all gone. what is this? All of my work is trashed this app sucks do not recommend. If this is not fixed unistalling now!!
243,"So far it's cute, but for the moment, I'm only reviewing because I was prompted and I don't want it to keep popping up...."
244,It is the best diary I have ever installed I installed one or maybe two one was the unicorn 🦄 diary but it was only good not great and I forgot the name of the other and that one was awful it litterly opened even when the password was wrong like what the ............. but one thing is the most beauty ful theams are on money whyyyyyyuyy. Still 14 stars
245,But then a personal 🖇️
246,It's so good I can keep my diary safe 😀
247,اعطيه ١٠٠٠٠٠٠٠٠٠٠ نجمة
248,This app allows you to open up and write every single thing you wanted to say instead of just crying.
249,Thank you Diary with lock you have helped my child learn English.
250,I LOVE IT
251,this one is kinda good👍🏻
252,It is an amazing app
253,1223 hart
254,"I love the app! You wont bother to make kinda cringe stories of your imagination and someone will see! Your secrets, notes and daily life experiences are safe and sound in this app! Now you dont need your irl diary stolen and you wont bother that your irl diary's key is lost. Anyways great app! I like it! Keep up the good work!"
255,I REALY LOVE ITT
256,Happy 🥵😡😱
257,👍🏻
258,I love this app it's so good it better than the other apps it good for teenagers girl to keep secrets from other people.
259,👍 good one
260,😺
261,I can right my crushes now without anybody knowing
262,Amazing
263,Gijrym
264,Really nice to express your feeling in this diary 100% recommend
265,Good 😊
266,It's the best
267,This dairy is amazing to share your filling and fast your key board typing . I like it good job ..
268,Good app❤️
269,"This app is actually really nice, but unfortunately I forgot the password and I don't even remember the answer of my security question . There are so many of my memories stored in it .I'm literally looking for solution!😔"
270,Good
271,Wish I'd found you sooner.
272,Really good game but needs to let you pick your own theme.
273,It's good 😊😊
274,Best app for sharing your feelings with anyone
275,It's good brooo I mean excellent....it has amazing stickers in it tooo....my favourite!!!💗
276,Nice
277,Nice app 👌 love it.
278,love.it.
279,App is great unfortunately I lost my passcode and favourite colour. Please help
280,Good app
281,Very safe because there is a password
282,I mean this is a good app but I think It kinda has a lack of security But other than that its good
283,Other
284,Good
285,I really loved this. Thank you
286,Good
287,they said it has a lock but i doesn't so i give it a 2 sorry
288,تطبيق روعه لان اني جنت محتاج تطبيق يوميات، ابدال ما اكتب اسجل صوتيات و فيديوهات و اكتب ايضا من غير بعض المميزات في التطبيق الي صراحه اشوفها بلا فايدا، عندي مشكله وهيه انو اني ما يدعم تسجل sync و لا يوجد فولدر او ملف او هاشتاك لحفض المعلومات و لتخصيص اكثر في الكتابه مثل تطبيق mind note لكن هاذه التطبيق الفرق بينه انو هو ما يدعم الفيديوهات للاسف😘
289,Amazing
290,Good 👍
291,its the best 👍💯
292,This app is so great .I really enjoy this app.
293,It's very useful
294,i can tell my feelings here and it has a security so no one could find out
295,So good app
296,i love it ty for it. YAYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYY&Y
297,Convenient and simple to use
298,I can rant and write everything herr
299,It so much fun to write our day I love this app ♥️
300,Please can you just make my diary to export all medias and photos to other devices
301,This app is best they have a lock and i love it. They have different type of fonts emoji eye protection wallpaper etc.
302,"I like it, it is good"
303,Goof
304,Thus app is very good it's something I can express my feelings
305,Didn't like it that much
306,Love it it is so good 😊
307,"Needs more free things in the beginning, other than that; great app. Helps me a lot get stress off my shoulders bc I can just write it down without anyone seeing it."
308,Wonder full
309,I love this app
310,"It's very cool. But I have a suggestion. Maybe you should add a feature where you can import your own background, because there are only a few backgrounds I can use without having to have premium. But overall, it's a good app!"
311,"Don't recommend this app. Initially I thought it was good. I paid for the pro version for a year. But after a month I somehow lost the Pro part & have been unable to get it back - customer support attempted vague help but have since ceased responding to my emails. I think I'll look for another app, this was a waste of money and as I said, don't recommend it as I've paid for it, I can't use half the features and the ads are incredibly annoying. Edit: customer service bad and is ignoring emails."
312,This app will send 100 of messages leaving no room for other apps so I had to delete this app so I don't have to delete other ones
313,This app makes me so happy i can write the way i feel no words but I'm so happy
314,I liked it no ads
315,I'm very happy
316,Good
317,Write anything privately and let out all your bottled up emotions into the pages of your diary.
318,ASPA
319,It's fun and it has different options for colors and what handwriting you wanted and it's really fun and I would like it
320,Good
321,Good app
322,I am very happy
323,Beautiful app and I know don't have to buy a diary❤
324,Good it's just good
325,Great
326,"It's great! My life is literally full of tears especially with my ex-bff, I can talk about anything all I want!! So awesome! Now, Cadan can't just go through my diary! Yay! I totally recommend!!! please download ♥️♥️♥️♥️"
327,Awesome 👍
328,Really good app
329,A fun to use and I like the Themes they are so fun to use.
330,"Love it, easy to use ans creative"
331,It is so nise
332,Greatest app
333,So far so good
334,It is very good
335,This is the beeeeeeeeeeest
336,Very nice app
337,Nice app
338,BLABLABLABLNLA
339,It is very good app for under 18 years child studies
340,Adorable. Lovely.
341,Super
342,It was really useful and compared to the other apps there was no disturbance and good quality
343,Exploring. But so far all good
344,It was good.
345,Nice app
346,Good game
347,Great
348,I am in love with this app I think I will be keeping forever
349,Good for now
350,I accidentally clicked the wrong theme but it's fine 5/5
351,Nice
352,GOOD
353,"It's soo good. For a person like me who loves to maintain journals and diaries with colorful sketches and stickers, this app comes with all the features that would please me."
354,Nice
355,Very good day
356,💞
357,Good
358,It's good but it could be better
359,Good
360,It works
361,Very convenient !!
362,It's good
363,"The app makes and gives me the opportunity to express myself, the app gives me the accessibility t write down my future plans , the app i a great help to introvert . It makes people write down dey worries and make them free from they all distress. The app make us feel as if we are communicating or sharing our problems with someone. The app is a real helper and savior in things of loneliness and troubles ....This app make us the troubled people get to express ourselves in written form ........."
364,It gives me time to write without worrying that other people would see my Diary it a secret okay.
365,Very good
366,Great app!
367,"AMAZING, REALLY ENJOYED THE APP."
368,to be real right now i installed the app then used it i feel so much more lighter. thank u creators
369,Good
370,It's good
371,Love it
372,What a great app 💯
373,Lee madeeha🪐
374,Love it
375,Good
376,Really good so far 😃
377,It dose ask you to pay I said no but it still is a easy to use app. No ad's so far.and never boots me off
378,Best secret diary and with a secret code 😉 love this diary
379,Ujjain mein apna fingerprint lock kaise lagta hai is game mein reminder belgaum
380,Want to write notes
381,Nice for a journal
